,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,anime
18002,18004,Vita,Unknown,Female,Orange,7.403,30.835,Unknown,Unknown,Unknown,"Braids, Hair Antenna, Hot-Headed, Magical Girl, Pigtails",306.0,9,Unknown,https://www.anime-planet.com/characters/vita,Magical Girl Lyrical Nanoha A's
18003,18005,Nio HASHIRI,Unknown,Female,Blonde,5.454,6.572,Unknown,Unknown,Unknown,"Assassins, Hair Antenna, High School Students, Sharp Teeth, Tattoos, Teenagers, Transfer Students",440.0,78,Unknown,https://www.anime-planet.com/characters/nio-hashiri,Riddle Story of Devil
18007,18009,Yue AYASE,Unknown,Female,Purple,4.968,18.176,Unknown,Unknown,Unknown,"Bookworms, Hair Antenna, Lazy, Magic Users, Middle School Students",486.0,21,"Yue is a Member of Library exploration club, but disdains studying causing her to grades to suffer despite her considerable intelligence. She has a calm personality, a dry wit, and a love of books which leads her to spend most of the time in the school's stacks with her best friends Nodoka and Paru. She is a member of Class 3-A, and sits in seat number 4.",https://www.anime-planet.com/characters/yue-ayase,Mahou Sensei Negima! Anime Final
18021,18023,Minori KOGANUMA,Unknown,Female,Black,5.143,16.283,Unknown,Unknown,Unknown,"Military, Glasses, Fujoshi",469.0,25,Unknown,https://www.anime-planet.com/characters/minori-koganuma,Outbreak Company
18025,18027,Sayo AISAKA,Unknown,Female,White,6.75,38.544,Unknown,Unknown,Unknown,"Crybabies, Ghosts, Middle School Students, Shy",342.0,6,"Aisaka Sayo occupies seat number 1 of Class 3-A. She is the ghost of a student who died 40 years ago of unknown causes - even Sayo herself cannot remember the circumstances surrounding her own death. Despite being a ghost, she is afraid of scary things. Most other students cant see her, and when they do they perceive her as some sort of evil spirit, when all she wants to do is make friends. However, she becomes close friends with Kazumi and follows her wherever possible.",https://www.anime-planet.com/characters/sayo-aisaka,Mahou Sensei Negima! Anime Final
18027,18029,Keisaku SATOU,Unknown,Male,Brown,4.979,15.348,Unknown,Unknown,Unknown,"High School Students, Teenagers, Wealthy",485.0,27,Unknown,https://www.anime-planet.com/characters/keisaku-satou,Shakugan no Shana
18030,18032,Galius N. CORDVAL,Galious En KOLDOBAR,Male,Grey,6.619,15.852,Unknown,Unknown,Unknown,"Capes, Knights, Nobility",351.0,26,Unknown,https://www.anime-planet.com/characters/galius-n-cordval,Outbreak Company
18033,18035,Yamato HOUTSUIN,Unknown,Male,White,7.233,6.847,Unknown,Unknown,Unknown,"Analytical, Big Ego, Blinding Bangs, Cruel, God Complex, Magic Users, Ruthless, Stoic, Summoners, Teenagers, Wealthy",317.0,74,Unknown,https://www.anime-planet.com/characters/yamato-houtsuin,Devil Survivor 2 The Animation
18034,18036,Honne NOHOTOKE,Nohohon,Female,Brown,4.186,11.446,Unknown,Unknown,Unknown,"Pigtails, Animal Hoods, Teenagers, Mecha Pilots, Mechanics",588.0,40,Unknown,https://www.anime-planet.com/characters/honne-nohotoke,Infinite Stratos
18053,18055,Tsugumi SHIBATA,Unknown,Female,Brown,5.601,10.365,Unknown,Unknown,Unknown,Spirit Seers,426.0,45,Unknown,https://www.anime-planet.com/characters/tsugumi-shibata,Hell Girl
18057,18059,Mamoru ITOU,Unknown,Male,Brown,5.44,2.142,Unknown,Unknown,Unknown,"Psychic Powers, Superpowers",441.0,230,Unknown,https://www.anime-planet.com/characters/mamoru-itou,From the New World
18063,18065,Patty LOWELL,Unknown,Female,Blonde,4.236,1.873,Unknown,Unknown,Unknown,"Children, Freckles",580.0,262,Unknown,https://www.anime-planet.com/characters/patty-lowell,Devil May Cry
18070,18072,Isshin MATOI,Unknown,Male,Unknown,6.778,14.276,Unknown,Unknown,Unknown,"Breathtaking Beards, Eye Patches, Facial Hair, Inventors",341.0,30,Unknown,https://www.anime-planet.com/characters/isshin-matoi,Kill La Kill
18079,18081,Tooru KOKONOE,Unknown,Male,Brown,3.756,8.927,Unknown,Unknown,Unknown,"High School Students, Martial Artists, Teenagers",654.0,55,Unknown,https://www.anime-planet.com/characters/tooru-kokonoe,Absolute Duo
18081,18083,Gunzou CHIHAYA,Unknown,Male,Black,7.36,21.251,Unknown,Unknown,Unknown,"Analytical, Mercenaries, Teenagers",309.0,17,Unknown,https://www.anime-planet.com/characters/gunzou-chihaya,Aoki Hagane no Arpeggio: Ars Nova
18096,18098,Deneve,Unknown,Female,Blonde,2.545,6.391,Unknown,Unknown,Unknown,"Capes, Sword Fighters, Warriors",946.0,80,"A defensive type Claymore ranked #15, Deneve possesses exceptional regenerative powers. When she originally became a warrior, she wished only to avenge the massacre of her family. But a strong will to live forced her to become a defensive type. Considering herself a coward, she faught recklessly, disregarding her own safety. It wasn't until she met a fellow Claymore named Helen, that she forgave herself.",https://www.anime-planet.com/characters/deneve-claymore,Claymore
18099,18101,Daichi SHIJIMA,Unknown,Male,Brown,6.793,8.473,Unknown,Unknown,Unknown,"Teenagers, Scarves, High School Students, Summoners",340.0,58,Unknown,https://www.anime-planet.com/characters/daichi-shijima,Devil Survivor 2 The Animation
18103,18105,Saori TAKEBE,Unknown,Female,Orange,5.291,16.722,Unknown,Unknown,Unknown,"High School Students, Teenagers",454.0,24,Unknown,https://www.anime-planet.com/characters/saori-takebe,Girls und Panzer
18125,18127,Kana TACHIBANA,Unknown,Female,Blonde,4.707,11.027,Unknown,Unknown,Unknown,"Superpowers, Psychic Powers, Disabled, Teenagers, Headbands, Gothic Lolita, Hair Drills, Fortune Tellers",516.0,42,Unknown,https://www.anime-planet.com/characters/kana-tachibana,Brynhildr in the Darkness
18127,18129,Makie SASAKI,Unknown,Female,Pink,6.909,20.893,Unknown,Unknown,Unknown,"Athletes, Gymnasts, Middle School Students, Pigtails, Teenagers",333.0,17,"Makie Sasaki occupies seat sixteen of class 3-A. She is an energetic girl, and a talented rhythmic gymnast. However, she is also an airhead and one of the class' lowest scoring pupils in exams. Makie is a big fan of cute things, and her child teacher Negi is no exception! Of all the pupils with a crush on Negi, Makie (along with her rival Ayaka) is one of the most determined to win his affection.",https://www.anime-planet.com/characters/makie-sasaki,Mahou Sensei Negima! Anime Final
18133,18135,Yakumo KOKONOE,Unknown,Male,Unknown,5.975,28.162,Unknown,Unknown,Unknown,"Scars, Ninja, Monks, Martial Artists, Magic Users, Facial Hair, Closed Eyes, Bald, Adults",397.0,11,Unknown,https://www.anime-planet.com/characters/yakumo-kokonoe,The Honor Student at Magic High School
18135,18137,Konoka KONOE,Unknown,Female,Brown,4.76,18.178,Unknown,Unknown,Unknown,"Teenagers, Middle School Students, Kansai Dialect, Fortune Tellers, Lesbians, LGBT+",510.0,21,"Konoka Konoe occupies seat number 13 of class 3-A. The granddaughter of the school dean, Konoka is a cheerful and optimistic person, who often acts as mediator when her room mates Negi and Asuna fall out. Her hobbies include fortune telling, though the majority of her predictions are jokes, and she is also a member of the library exploration club. She has had a close relationship to her classmate Setsuna since childhood; however, Setsuna sees herself more as Konoka's guardian than a friend and equal.",https://www.anime-planet.com/characters/konoka-konoe,Mahou Sensei Negima! Anime Final
18137,18139,Super Sonico,Nico,Female,Pink,5.039,17.859,Unknown,Unknown,Unknown,"University Students, Teenagers, Singers, Part Time Employees, Musicians, Models, Headphones, Guitarists, Band Members",479.0,22,Unknown,https://www.anime-planet.com/characters/super-sonico,Matoi the Sacred Slayer Special
18148,18150,Fate TESTAROSSA,Unknown,Female,Blonde,2.8,30.831,Unknown,Unknown,Unknown,"Elemental Powers, Lightning Powers, Magical Girl, Pigtails, Rapunzel Hair",865.0,9,Unknown,https://www.anime-planet.com/characters/fate-testarossa,Magical Girl Lyrical Nanoha
18154,18156,Luke FON FABRE,Unknown,Male,Red,5.118,7.151,Unknown,Unknown,Unknown,"Teenagers, Sword Fighters, Nobility, Gloves, Big Ego, Amnesia",471.0,70,Unknown,https://www.anime-planet.com/characters/luke-fon-fabre,Tales of Gekijou
18166,18168,Mataro MANKANSHOKU,"Denkou Sekka Mataro, Lightning Speed Mataro",Male,Brown,3.12,2.469,Unknown,Unknown,Unknown,"Big Eaters, Children, Delinquents, Perverted, Poor, Sunglasses, Thieves",778.0,204,Unknown,https://www.anime-planet.com/characters/mataro-mankanshoku,Kill La Kill
18180,18182,Tomiko ASAHINA,Unknown,Female,Grey,6.65,17.833,Unknown,Unknown,Unknown,"Elderly, Psychic Powers, Superpowers",349.0,22,Unknown,https://www.anime-planet.com/characters/tomiko-asahina,From the New World
18181,18183,Lilynette GINGERBACK,Unknown,Female,Green,5.238,2.974,Pink,January 19,Unknown,"Hot-Headed, Scantily-clad",459.0,172,Unknown,https://www.anime-planet.com/characters/lilynette-gingerback,Bleach
18194,18196,Keitaro URASHIMA,Unknown,Male,Brown,3.42,2.928,Unknown,Unknown,Unknown,"Adults, Artists, Clumsy, Dormitory Heads, Glasses",713.0,174,Unknown,https://www.anime-planet.com/characters/keitaro-urashima,Love Hina
18195,18197,Nekomaru NIDAI,Ultimate Team Manager,Male,Black,5.487,8.117,Unknown,Unknown,Unknown,"Facial Hair, High School Students, Muscular, Scars, Team Managers",437.0,61,Unknown,https://www.anime-planet.com/characters/nekomaru-nidai,Danganronpa 3: Monokuma Gekijou
18196,18198,Sakuya AIZAWA,Unknown,Female,Grey,5.684,15.633,Green,April 3,AB,"Chokers, Kansai Dialect, Wealthy",419.0,26,"Sakuya Aizawa is a good friend of Nagi , and the daughter of a wealthy family. An aspiring comedienne, Sakuya is loud, brash and seemingly obnoxious at times, and this excitable personality of hers is complemented by her heavy Kansai accent. However, under her hyperactive exterior beats an altogether more tender heart.",https://www.anime-planet.com/characters/sakuya-aizawa,Hayate the Combat Butler!
18208,18210,Ayato AMAGIRI,Murakumo,Male,Purple,3.36,5.363,Purple,Unknown,Unknown,"High School Students, Magic Users, Oversized Weapons, Sword Fighters, Teenagers, Transfer Students, Weapon Masters",727.0,97,Unknown,https://www.anime-planet.com/characters/ayato-amagiri,The Asterisk War
18210,18212,Wanyudo,Unknown,Male,Unknown,3.469,16.054,Unknown,Unknown,Unknown,"Human Guise, Bald, Closed Eyes, Hats, Smokers, Youkai, Agents of the Afterlife",702.0,25,Unknown,https://www.anime-planet.com/characters/wanyudo,Hell Girl
18217,18219,Haruka URASHIMA,Unknown,Female,Brown,4.865,10.736,Unknown,Unknown,Unknown,"Adults, Smokers",497.0,43,Unknown,https://www.anime-planet.com/characters/haruka-urashima,Love Hina
18219,18221,Isley,"Isley of the North, White Silver King",Male,White,6.226,5.505,Unknown,Unknown,Unknown,"Monsters, Sword Fighters, Ruthless",377.0,94,Unknown,https://www.anime-planet.com/characters/isley,Claymore
18222,18224,Ryouta MURAKAMI,Unknown,Male,Blonde,4.972,8.333,Unknown,Unknown,Unknown,"Analytical, High School Students, Teenagers, Photographic Memory",486.0,59,Unknown,https://www.anime-planet.com/characters/ryouta-murakami,Brynhildr in the Darkness
18229,18231,Kana IENAGA,Unknown,Female,Brown,5.317,2.811,Unknown,Unknown,Unknown,"Middle School Students, Teenagers",452.0,180,Unknown,https://www.anime-planet.com/characters/kana-ienaga,Nura: Rise of the Youkai Clan
18247,18249,Leila MALCAL,"Leila BREISGAU, Maid of Orleans",Female,Blonde,6.484,21.189,Purple,"November 8, 1999",A,"Bikers, Military, Nobility, Teenagers",360.0,17,Unknown,https://www.anime-planet.com/characters/leila-malcal,Code Geass: Akito the Exiled
18257,18259,Gunji,Unknown,Male,Blonde,6.199,10.232,Unknown,Unknown,Unknown,"Sadistic, Tattoos, Claw Weapons",379.0,46,Unknown,https://www.anime-planet.com/characters/gunji,Togainu no Chi
18282,18284,Mao MIZUSAWA,Unknown,Female,Brown,7.087,12.105,Unknown,Unknown,Unknown,"High School Students, Pigtails, Teenagers",324.0,37,Unknown,https://www.anime-planet.com/characters/mao-mizusawa,Kimikiss Pure Rouge
18284,18286,Natsuki NAKAGAWA,Unknown,Female,Brown,5.91,40.325,Unknown,Unknown,Unknown,"Band Members, High School Students, Musicians, Ponytail, Rosy Cheeks, Teenagers",401.0,6,Unknown,https://www.anime-planet.com/characters/natsuki-nakagawa,Hibike! Euphonium Movie 2: Todoketai Melody
18285,18287,Daiki MAMURA,Unknown,Male,Unknown,7.01,22.164,Unknown,February 10,A,"Gynophobia, High School Students, Teenagers",328.0,16,Unknown,https://www.anime-planet.com/characters/daiki-mamura,Daytime Shooting Star
18286,18288,Sharrkan,Unknown,Male,White,3.349,31.575,Unknown,Unknown,Unknown,"Sword Fighters, Piercings, Military, Dark-skinned",729.0,9,Unknown,https://www.anime-planet.com/characters/sharrkan,Magi: The Kingdom of Magic
18287,18289,Sphintus CARMEN,Unknown,Male,White,4.73,39.962,Unknown,Unknown,Unknown,"Magic Users, Dark-skinned",514.0,6,Unknown,https://www.anime-planet.com/characters/sphintus-carmen,Magi: The Kingdom of Magic
18288,18290,Kaiji ITO,Unknown,Male,Black,2.687,11.857,Unknown,Unknown,Unknown,"Smokers, Poor, Gamblers, Analytical, Adults",898.0,38,"A listless slacker, Kaiji is completely broke. Desperately trying to make a quick buck, he gambles away large sums of money, only making his situation even worse. Although a working life is not for him, Kaiji can rely on his wits in tight situations. Extremely in touch with his emotions, he is not afraid to be seen crying and his soft, naive nature is often taken advantage of by unsavoury characters.",https://www.anime-planet.com/characters/kaiji-ito,Kaiji - Against All Rules
18293,18295,Izana SHINATOSE,Unknown,Unknown,Black,6.136,13.612,Unknown,Unknown,Unknown,Mecha Pilots,384.0,32,Unknown,https://www.anime-planet.com/characters/izana-shinatose,Knights of Sidonia
18295,18297,Shizuka HOSHIJIRO,Unknown,Female,Black,7.192,24.047,Unknown,Unknown,Unknown,Mecha Pilots,319.0,14,Unknown,https://www.anime-planet.com/characters/shizuka-hoshijiro,Knights of Sidonia
18297,18299,Chiwa HARUSAKI,Chihuahua,Female,Orange,3.893,3.613,Unknown,Unknown,Unknown,"Chokers, High School Students, Pigtails, Teenagers",631.0,143,Unknown,https://www.anime-planet.com/characters/chiwa-harusaki,OreShura
18314,18316,Rita,Necromancer Rita,Female,Black,3.295,24.173,Unknown,Unknown,Unknown,"Undead, Scars, Magic Users, Hats, Immortal, Small Stature, Chokers, Necromancers",740.0,14,Unknown,https://www.anime-planet.com/characters/rita-rage-of-bahamut-genesis,Rage of Bahamut: Genesis
18361,18363,Cryska BARCHENOWA,Unknown,Female,White,7.51,26.469,Unknown,Unknown,Unknown,"Adults, Mecha Pilots, Military",301.0,12,Unknown,https://www.anime-planet.com/characters/cryska-barchenowa,Muv-Luv Alternative: Total Eclipse
18369,18371,Kaisar LIDFARD,Hammer Head,Male,Brown,5.338,7.018,Unknown,Unknown,Unknown,"Adults, Armor, Bounty Hunters, Broken Record, Capes, Knights, Sword Fighters, Vengeful",451.0,72,Unknown,https://www.anime-planet.com/characters/kaisar-lidfard,Rage of Bahamut: Genesis
18371,18373,Yui TAKAMURA,Princess Yui,Female,Brown,6.664,31.454,Unknown,Unknown,Unknown,"Mecha Pilots, Military, Adults",348.0,9,Unknown,https://www.anime-planet.com/characters/yui-takamura,Muv-Luv Alternative: Total Eclipse
18387,18389,Ranmaru MORII,Unknown,Male,Red,3.288,6.316,Unknown,Unknown,Unknown,"Big Ego, Flirts, High School Students, Teenagers",741.0,81,Unknown,https://www.anime-planet.com/characters/ranmaru-morii,The Wallflower
18388,18390,Takenaga ODA,Unknown,Male,Black,3.075,13.453,Unknown,Unknown,Unknown,"High School Students, Teenagers",788.0,32,Unknown,https://www.anime-planet.com/characters/takenaga-oda,The Wallflower
18398,18400,Yahiro TAKIGAWA,Unknown,Male,Black,5.372,12.521,Unknown,Unknown,Unknown,"High School Students, Teenagers",448.0,36,Unknown,https://www.anime-planet.com/characters/yahiro-takigawa,The Testament of Sister New Devil
18399,18401,Yumiko SAKAKI,Unknown,Female,Purple,2.988,16.33,Unknown,Unknown,Unknown,"High School Students, Teenagers",813.0,25,Unknown,https://www.anime-planet.com/characters/yumiko-sakaki,The Eden of Grisaia
18402,18404,Nakiami,Cloud Rider,Female,Red,5.037,23.608,Unknown,Unknown,Unknown,"Pilots, Tattoos",479.0,14,"A strong woman and spiritual guide, Nakiami flies around on her air bike whilst helping people deal with Hiruko and Xam'd. Although quiet and reserved, she is far from silent.",https://www.anime-planet.com/characters/nakiami,Xam'd: Lost Memories
18403,18405,Makina IRISU,Unknown,Female,Brown,3.666,11.522,Unknown,Unknown,Unknown,"High School Students, Teenagers, Snaggleteeth, Pigtails, Small Stature, Snipers",668.0,40,Unknown,https://www.anime-planet.com/characters/makina-irisu,The Eden of Grisaia
18409,18411,Rika SUZUKI,Unknown,Female,Brown,5.408,9.314,Brown,Unknown,Unknown,"Adults, Salaryman",445.0,52,Unknown,https://www.anime-planet.com/characters/rika-suzuki,The Devil is a Part-Timer!
18412,18414,Luviagelita EDELFELT,Unknown,Female,Blonde,6.574,8.232,Unknown,Unknown,Unknown,"Wealthy, Big Ego, Magic Users, Ojou-sama, Hair Drills, Martial Artists",354.0,60,Unknown,https://www.anime-planet.com/characters/luviagelita-edelfelt,Fate/Kaleid Liner Prisma Illya
18413,18415,Seitenshi,Unknown,Female,White,5.019,3.751,Unknown,Unknown,Unknown,"Hats, Rosy Cheeks, Politicians",481.0,137,Unknown,https://www.anime-planet.com/characters/seitenshi,Black Bullet
18438,18440,Rossweisse,Unknown,Female,Grey,3.441,14.671,Unknown,Unknown,Unknown,"Hair Antenna, Magic Users, Rapunzel Hair, Hair Ribbons",710.0,29,Unknown,https://www.anime-planet.com/characters/rossweisse,High School DxD BorN
18441,18443,Badou NAILS,Unknown,Male,Red,3.802,28.923,Unknown,Unknown,Unknown,"Information Brokers, Dual Wielders, Smokers, Photographers, Gunslingers, Eye Patches, Clumsy, Blinding Bangs",646.0,10,Unknown,https://www.anime-planet.com/characters/badou-nails,Dogs: Bullets & Carnage
18442,18444,Heine RAMMSTEINER,Unknown,Male,White,4.275,38.469,Unknown,Unknown,Unknown,"Gunslingers, Gynophobia, Piercings",574.0,6,Unknown,https://www.anime-planet.com/characters/heine-rammsteiner,Dogs: Bullets & Carnage
18443,18445,Naoto FUYUMINE,Unknown,Female,Black,6.581,18.157,Unknown,Unknown,Unknown,"Amnesia, Martial Artists, Orphans, Scars, Sword Fighters, Vengeful",353.0,21,Unknown,https://www.anime-planet.com/characters/naoto-fuyumine,Dogs: Bullets & Carnage
18477,18479,Gisen YAGYUU,Gittan,Female,White,6.297,5.239,Unknown,Unknown,Unknown,Eye Patches,373.0,99,Unknown,https://www.anime-planet.com/characters/gisen-yagyuu,Samurai After
18486,18488,Rizu OGATA,The Mechanized Thumbelina,Female,Brown,5.516,19.256,Unknown,Unknown,Unknown,"Glasses, Hair Ribbons, High School Students, Stoic, Teenagers",434.0,20,Unknown,https://www.anime-planet.com/characters/rizu-ogata,We Never Learn
18514,18516,Philuffy AINGRAM,Phi,Female,Pink,7.252,22.306,Unknown,Unknown,Unknown,"Mecha Pilots, Hair Antenna, Teenagers, Pigtails, Sweet Tooth",316.0,16,Unknown,https://www.anime-planet.com/characters/philuffy-aingram,Undefeated Bahamut Chronicle
18571,18573,Berserker of Black,Frankenstein,Female,Red,5.978,24.272,Unknown,Unknown,Unknown,"Blinding Bangs, Elemental Powers, Heterochromia, Immortal, Lightning Powers, Magical Familiars, Oversized Weapons",397.0,14,Unknown,https://www.anime-planet.com/characters/berserker-of-black,EGOIST: Eiyuu Unmei no Uta
18665,18667,Bozes CO PALESTI,Unknown,Female,Blonde,4.59,9.645,Unknown,Unknown,Unknown,"Armor, Hair Drills, Knights, Nobility",532.0,50,Unknown,https://www.anime-planet.com/characters/bozes-co-palesti,GATE
18692,18694,Sen TOKUGAWA,"Princess Sen, Sen hime-sama",Female,Brown,4.688,9.723,Unknown,Unknown,Unknown,"Nobility, Lancers",519.0,49,Unknown,https://www.anime-planet.com/characters/sen-tokugawa,Samurai After
18721,18723,Misa IRIOLOGUE,Unknown,Female,Brown,7.201,19.384,Orange,Unknown,Unknown,"Pigtails, Magic Users, Half-Breeds, Demons",319.0,20,Unknown,https://www.anime-planet.com/characters/misa-iriologue,The Misfit of Demon King Academy
18735,18737,Mio NISHIZONO,Unknown,Female,Blue,5.081,23.853,Unknown,Unknown,Unknown,"Teenagers, Stoic, Shared Body, Kuudere, High School Students, Headbands, Bookworms",476.0,14,Unknown,https://www.anime-planet.com/characters/mio-nishizono,Kaginado Season 2
18737,18739,Kaede FURUTANI,Unknown,Female,Green,5.702,36.025,Brown,October 30,Unknown,"Children, Rosy Cheeks",418.0,7,Unknown,https://www.anime-planet.com/characters/kaede-furutani,Yuru Yuri
18744,18746,Matsuri SHIHOU,Unknown,Female,Black,5.902,32.949,Unknown,Unknown,Unknown,"Hats, Immortal, Mischievous",401.0,8,Unknown,https://www.anime-planet.com/characters/matsuri-shihou,sola
18762,18764,Glass,Unknown,Female,Black,5.911,6.435,Unknown,Unknown,Unknown,"Dual Wielders, Unconventional Weapon",401.0,80,Unknown,https://www.anime-planet.com/characters/glass,The Rising of the Shield Hero
18764,18766,Shimakaze,Unknown,Female,White,6.711,28.239,Unknown,Unknown,Unknown,"Scantily-clad, Military, Hair Ribbons, Anthropomorphic",345.0,11,Unknown,https://www.anime-planet.com/characters/shimakaze,Kantai Collection: Kan Colle
18767,18769,Hikari KONOHANA,Unknown,Female,Blonde,6.074,6.968,Blue,Unknown,A,"Transfer Students, Teenagers, Singers, Shy, LGBT+, High School Students",389.0,72,"Hikari is another transfer student to the schools on Astrea Hill. Shy, devout, and insecure, Hikari enjoys singing on the school's choir team with her roommate and best friend Yaya, and though not the ace, she can carry a tune with the best of them.",https://www.anime-planet.com/characters/hikari-konohana,Strawberry Panic
18820,18822,Meru OTONASHI,Unknown,Female,Black,5.675,7.43,Unknown,Unknown,Unknown,"High School Students, Mute, Pigtails, Teenagers",420.0,67,"Meru is a quiet young girl who looks like butter wouldn’t melt in her mouth. She never talks but instead communicates through highly insulting text messages. She is extremely attached to her cell phone and tends to get truly distressed if separated from it, or when she ends up in an area with no signal.",https://www.anime-planet.com/characters/meru-otonashi,Goku Sayonara Zetsubou Sensei
18822,18824,Paimon,Unknown,Female,Blue,6.191,19.026,Unknown,Unknown,Unknown,"Genies, Magic Users, Piercings, Pointy Ears, Scantily-clad",380.0,20,Unknown,https://www.anime-planet.com/characters/paimon,Genshin Impact Chouki Project Shidou Collab PV
18845,18847,Kaede IGARASHI,Unknown,Female,Orange,6.693,6.701,Unknown,Unknown,Unknown,"Braids, Disciplinary Committee, Androphobia, Pigtails, Teenagers, High School Students",346.0,76,Unknown,https://www.anime-planet.com/characters/kaede-igarashi,Seitokai Yakuindomo
18874,18876,Momoka KIBITSU,Unknown,Female,Orange,6.143,26.297,Unknown,Unknown,Unknown,"Delinquents, Headbands, High School Students, Teenagers",383.0,12,Unknown,https://www.anime-planet.com/characters/momoka-kibitsu,Sket Dance
18887,18889,Leysritt,Unknown,Female,White,5.891,7.865,Red,Unknown,Unknown,"Maids, Hats, Genetically Engineered",402.0,63,Unknown,https://www.anime-planet.com/characters/leysritt,Carnival Phantasm
18934,18936,Kanami MIHARA,Unknown,Female,Brown,6.201,8.451,Unknown,Unknown,Unknown,"High School Students, Teenagers",379.0,58,Unknown,https://www.anime-planet.com/characters/kanami-mihara,Is this a Zombie?
18935,18937,Yuri HONJOU,Unknown,Female,Black,4.739,6.943,Unknown,Unknown,Unknown,"Brother Complex, Teenagers",513.0,73,Unknown,https://www.anime-planet.com/characters/yuri-honjou,High-Rise Invasion
19010,19012,Febri,Unknown,Female,Blonde,7.49,15.847,Unknown,Unknown,Unknown,"Children, Gothic Lolita, Hair Antenna, Sweet Tooth, Twins",302.0,26,Unknown,https://www.anime-planet.com/characters/febri,A Certain Scientific Railgun S
19034,19036,Tomoe TAKASAGO,Unknown,Female,Black,6.502,30.016,Unknown,Unknown,Unknown,"High School Students, Part Time Employees, Rosy Cheeks, Teenagers",359.0,10,Unknown,https://www.anime-planet.com/characters/tomoe-takasago,Eromanga Sensei
19080,19082,Michiru MORISHITA,Unknown,Female,Black,6.598,48.732,Unknown,Unknown,Unknown,"High School Students, Stoic, Teenagers",352.0,4,Unknown,https://www.anime-planet.com/characters/michiru-morishita,"Love, Election & Chocolate"
19115,19117,Yaya NANTO,Unknown,Female,Black,7.018,14.441,Brown,Unknown,B,"Teenagers, Singers, LGBT+, High School Students",327.0,29,"Sexy and confident, Hikari's roommate is the choir team's ace and well-known through out St. Spica. She has a crush on her roommate, Hikari, with whom she frequently flirts--though her advances seem to fall on deaf ears.",https://www.anime-planet.com/characters/yaya-nanto,Strawberry Panic
19130,19132,Yuuri ORIKI,Jolly Roger,Female,Black,6.864,25.448,Unknown,Unknown,Unknown,"Adults, Eye Bags, Sickly, Teachers",336.0,13,Unknown,https://www.anime-planet.com/characters/yuuri-oriki,Chivalry of a Failed Knight
19141,19143,Nayuta KANI,Unknown,Female,Grey,4.657,24.406,Blue,July 10,Unknown,"Flirts, Frequently-Naked, Hair Antenna, Perverted, Teenagers, Writers",523.0,14,Unknown,https://www.anime-planet.com/characters/nayuta-kani,A Sister's All You Need
19149,19151,Kimi AOI,Balfetto,Female,Brown,6.135,21.11,Unknown,Unknown,Unknown,"Rapunzel Hair, Mischievous, Hair Ribbons, Dancers",384.0,17,Unknown,https://www.anime-planet.com/characters/kimi-aoi,Horizon in the Middle of Nowhere
19160,19162,Irene URZAIZ,Lamilexia,Female,Magenta,7.335,40.615,Unknown,Unknown,Unknown,"Teenagers, Sharp Teeth, Scythe Wielders, Magic Users, Hair Antenna, Gravity Manipulators",311.0,6,Unknown,https://www.anime-planet.com/characters/irene-urzaiz,The Asterisk War
19196,19198,Bocchi HITORI,Unknown,Female,Brown,6.835,45.628,Unknown,Unknown,Unknown,"Clumsy, Teenagers, Middle School Students, Ponytail, Shy, Crybabies",338.0,5,Unknown,https://www.anime-planet.com/characters/bocchi-hitori,Hitoribocchi no OO Seikatsu
19217,19219,Liz,Elizabeth,Female,Pink,5.376,15.529,Unknown,Unknown,Unknown,"Knights, Rosy Cheeks, Blinding Bangs, Sword Fighters",448.0,27,Unknown,https://www.anime-planet.com/characters/liz-the-seven-deadly-sins,The Seven Deadly Sins
19246,19248,Chiaia FLAN,Unknown,Female,Red,6.24,11.864,Unknown,Unknown,Unknown,Mecha Pilots,376.0,38,Unknown,https://www.anime-planet.com/characters/chiaia-furan,Tenchi Muyo! War on Geminar
19302,19304,Ruby KUROSAWA,Unknown,Female,Red,5.712,21.481,Unknown,Unknown,Unknown,"Verbal Tic, Teenagers, Shy, Pigtails, Idols, High School Students",417.0,17,Unknown,https://www.anime-planet.com/characters/ruby-kurosawa,3-pun de Wakaru! Kore made no Love Live! Sunshine!!
19319,19321,Souka,Unknown,Female,Brown,6.848,32.1,Green,Unknown,Unknown,"Reptiles, Monsters, Armor, Anthropomorphic",337.0,9,Unknown,https://www.anime-planet.com/characters/souka,That Time I Got Reincarnated as a Slime
19404,19406,Dia KUROSAWA,Unknown,Female,Black,5.837,23.293,Unknown,Unknown,Unknown,"Teenagers, Student Council, Moles, Idols, High School Students",406.0,15,Unknown,https://www.anime-planet.com/characters/dia-kurosawa,3-pun de Wakaru! Kore made no Love Live! Sunshine!!
19416,19418,Nanami TAKATSUKI,Unknown,Female,Black,7.409,17.727,Unknown,Unknown,Unknown,Athletes,306.0,22,Unknown,https://www.anime-planet.com/characters/nanami-takatsuki,Dog Days
19429,19431,Yui ICHII,Unknown,Female,Blonde,7.232,36.554,Unknown,Unknown,Unknown,"High School Students, Pigtails, Teenagers",317.0,7,Unknown,https://www.anime-planet.com/characters/yui-ichii,KINMOZA!
